Time,outlets_unknown,outlets_unknown2,lighting,electronics,refrigerator,disposal,dishwaser,furance,lighting2,outlets_unknown3,washer_dryer,washer_dryer2,lighting3,microwave,lighting4,smoke_alarms,lighting5,bathroom_gfi,kitchen_outlets,kitchen_outlets2
2011-04-20 00:00:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 00:01:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 00:02:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 00:03:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 00:04:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 00:05:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 00:06:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 00:07:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 00:08:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 00:09:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 00:10:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 00:11:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 00:12:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 00:13:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 00:14:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 00:15:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 00:16:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 00:17:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 00:18:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 00:19:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 00:20:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 00:21:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 00:22:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 00:23:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 00:24:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 00:25:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 00:26:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 00:27:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 00:28:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 00:29:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 00:30:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 00:31:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 00:32:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 00:33:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 00:34:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 00:35:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 00:36:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 00:37:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 00:38:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 00:39:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 00:40:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 00:41:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 00:42:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 00:43:00,2.0,1.0,2.0,142.0,148.0,0.0,0.0,5.0,359.0,2.0,0.0,270.0,1.0,3.0,193.0,0.0,205.0,2.0,2.0,2.0
2011-04-20 00:44:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 00:45:00,2.0,0.0,1.0,142.0,140.0,0.0,0.0,5.0,356.0,2.0,2422.0,2615.0,3.0,5.0,191.0,0.0,204.0,2.0,2.0,2.0
2011-04-20 00:46:00,2.0,1.0,2.0,145.0,137.0,0.0,0.0,5.0,360.0,2.0,2248.0,2495.0,3.0,4.0,193.0,0.0,206.0,2.0,2.0,2.0
2011-04-20 00:47:00,2.0,1.0,2.0,145.0,136.0,0.0,0.0,5.0,361.0,2.0,0.0,275.0,2.0,3.0,193.0,0.0,206.0,2.0,2.0,2.0
2011-04-20 00:48:00,2.0,1.0,2.0,132.0,135.0,0.0,0.0,5.0,360.0,2.0,0.0,278.0,2.0,3.0,193.0,0.0,206.0,2.0,2.0,2.0
2011-04-20 00:49:00,2.0,1.0,1.0,174.0,134.0,0.0,0.0,5.0,360.0,2.0,0.0,282.0,2.0,4.0,193.0,0.0,206.0,2.0,2.0,2.0
2011-04-20 00:50:00,2.0,1.0,2.0,162.0,133.0,0.0,0.0,5.0,360.0,2.0,0.0,282.0,2.0,4.0,193.0,0.0,206.0,5.0,2.0,2.0
2011-04-20 00:51:00,2.0,1.0,2.0,154.0,131.0,0.0,0.0,5.0,360.0,2.0,0.0,275.0,2.0,4.0,193.0,0.0,206.0,2.0,2.0,2.0
2011-04-20 00:52:00,2.0,1.0,2.0,143.0,130.0,0.0,0.0,5.0,361.0,2.0,0.0,278.0,2.0,3.0,194.0,0.0,206.0,2.0,2.0,2.0
2011-04-20 00:53:00,3.0,1.0,2.0,143.0,130.0,0.0,0.0,5.0,360.0,2.0,2.0,2.0,1.0,3.0,194.0,1.0,206.0,5.0,2.0,2.0
2011-04-20 00:54:00,3.0,1.0,2.0,163.0,128.0,0.0,0.0,5.0,360.0,2.0,0.0,2.0,1.0,3.0,193.0,1.0,205.0,2.0,2.0,2.0
2011-04-20 00:55:00,2.0,1.0,2.0,159.0,128.0,0.0,0.0,5.0,360.0,2.0,2.0,2.0,1.0,3.0,194.0,1.0,206.0,5.0,2.0,2.0
2011-04-20 00:56:00,3.0,1.0,2.0,145.0,127.0,0.0,0.0,5.0,361.0,2.0,0.0,2.0,1.0,3.0,194.0,1.0,206.0,5.0,2.0,2.0
2011-04-20 00:57:00,2.0,1.0,2.0,147.0,126.0,0.0,0.0,5.0,360.0,2.0,2.0,2.0,1.0,3.0,193.0,1.0,206.0,5.0,2.0,2.0
2011-04-20 00:58:00,3.0,1.0,2.0,154.0,124.0,0.0,0.0,5.0,360.0,2.0,2470.0,2738.0,3.0,5.0,193.0,1.0,206.0,2.0,2.0,2.0
2011-04-20 00:59:00,2.0,0.0,1.0,144.0,124.0,0.0,0.0,5.0,359.0,2.0,2270.0,2552.0,3.0,5.0,192.0,0.0,205.0,2.0,2.0,2.0
2011-04-20 01:00:00,2.0,0.0,1.0,147.0,124.0,0.0,0.0,5.0,359.0,2.0,2258.0,2555.0,3.0,5.0,192.0,0.0,205.0,2.0,2.0,2.0
2011-04-20 01:01:00,11.0,0.0,1.0,163.0,124.0,0.0,0.0,4.0,359.0,2.0,2252.0,2550.0,3.0,5.0,192.0,0.0,205.0,2.0,2.0,2.0
2011-04-20 01:02:00,131.0,1.0,0.0,146.0,0.0,0.0,0.0,5.0,359.0,2.0,2255.0,2548.0,3.0,5.0,192.0,0.0,205.0,2.0,2.0,2.0
2011-04-20 01:03:00,156.0,1.0,0.0,156.0,0.0,0.0,0.0,5.0,359.0,2.0,2252.0,2548.0,3.0,5.0,192.0,0.0,205.0,2.0,2.0,2.0
2011-04-20 01:04:00,151.0,1.0,1.0,146.0,0.0,0.0,0.0,5.0,361.0,2.0,2252.0,2532.0,3.0,5.0,193.0,0.0,206.0,2.0,2.0,2.0
2011-04-20 01:05:00,141.0,1.0,1.0,145.0,1.0,0.0,0.0,5.0,361.0,2.0,2422.0,2832.0,3.0,5.0,194.0,0.0,206.0,2.0,2.0,2.0
2011-04-20 01:06:00,113.0,1.0,0.0,138.0,0.0,0.0,0.0,5.0,359.0,2.0,2265.0,2562.0,3.0,5.0,192.0,0.0,205.0,2.0,2.0,2.0
2011-04-20 01:07:00,141.0,1.0,0.0,140.0,0.0,0.0,0.0,5.0,361.0,2.0,2252.0,2545.0,3.0,5.0,193.0,0.0,207.0,2.0,2.0,2.0
2011-04-20 01:08:00,153.0,0.0,1.0,141.0,0.0,0.0,0.0,5.0,362.0,2.0,0.0,302.0,2.0,4.0,194.0,0.0,207.0,2.0,2.0,2.0
2011-04-20 01:09:00,119.0,1.0,1.0,139.0,0.0,0.0,0.0,5.0,361.0,2.0,2435.0,2868.0,3.0,5.0,192.0,1.0,205.0,2.0,2.0,2.0
2011-04-20 01:10:00,139.0,1.0,0.0,139.0,1.0,0.0,0.0,5.0,358.0,2.0,2248.0,2532.0,3.0,5.0,192.0,0.0,204.0,2.0,2.0,2.0
2011-04-20 01:11:00,163.0,1.0,1.0,138.0,0.0,0.0,0.0,5.0,360.0,2.0,2248.0,2512.0,3.0,5.0,193.0,0.0,206.0,2.0,2.0,2.0
2011-04-20 01:12:00,163.0,1.0,1.0,149.0,0.0,0.0,0.0,5.0,360.0,2.0,2518.0,2778.0,3.0,4.0,193.0,0.0,206.0,2.0,2.0,2.0
2011-04-20 01:13:00,247.0,2.0,1.0,178.0,1.0,0.0,0.0,5.0,357.0,2.0,2250.0,2532.0,3.0,5.0,191.0,0.0,204.0,2.0,2.0,2.0
2011-04-20 01:14:00,697.0,3.0,0.0,144.0,0.0,0.0,0.0,5.0,360.0,2.0,2245.0,2520.0,3.0,5.0,193.0,0.0,206.0,2.0,2.0,2.0
2011-04-20 01:15:00,251.0,2.0,1.0,143.0,0.0,0.0,0.0,5.0,360.0,2.0,2395.0,2642.0,3.0,5.0,194.0,0.0,207.0,5.0,2.0,2.0
2011-04-20 01:16:00,186.0,1.0,0.0,147.0,0.0,0.0,0.0,5.0,358.0,2.0,2298.0,2555.0,3.0,5.0,192.0,0.0,205.0,2.0,2.0,2.0
2011-04-20 01:17:00,163.0,1.0,0.0,139.0,0.0,0.0,0.0,4.0,357.0,2.0,2248.0,2518.0,3.0,4.0,192.0,0.0,204.0,2.0,2.0,2.0
2011-04-20 01:18:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 01:19:00,,,,,,,,,,,,,,,,,,,,
2011-04-20 01:20:00,143.0,1.0,0.0,141.0,0.0,333.0,2.0,6.0,358.0,2.0,2248.0,2518.0,3.0,5.0,192.0,0.0,205.0,2.0,2.0,2.0
2011-04-20 01:21:00,398.0,2.0,1.0,145.0,142.0,328.0,2.0,6.0,360.0,2.0,2248.0,2532.0,3.0,5.0,194.0,0.0,206.0,2.0,2.0,2.0
2011-04-20 01:22:00,470.0,3.0,1.0,141.0,137.0,0.0,0.0,5.0,359.0,2.0,2432.0,2690.0,4.0,5.0,193.0,0.0,205.0,2.0,2.0,2.0
2011-04-20 01:23:00,280.0,3.0,1.0,138.0,125.0,0.0,0.0,5.0,356.0,2.0,2245.0,2530.0,3.0,5.0,191.0,0.0,203.0,2.0,2.0,2.0
2011-04-20 01:24:00,168.0,0.0,1.0,127.0,124.0,0.0,0.0,5.0,357.0,2.0,2245.0,2528.0,3.0,5.0,192.0,0.0,205.0,2.0,2.0,2.0
2011-04-20 01:25:00,208.0,1.0,1.0,127.0,123.0,0.0,0.0,5.0,360.0,2.0,0.0,302.0,2.0,4.0,193.0,0.0,206.0,5.0,2.0,2.0
2011-04-20 01:26:00,146.0,1.0,1.0,128.0,124.0,0.0,0.0,5.0,360.0,2.0,2468.0,2678.0,4.0,5.0,193.0,0.0,206.0,2.0,2.0,2.0
2011-04-20 01:27:00,156.0,0.0,1.0,135.0,121.0,0.0,0.0,5.0,357.0,2.0,2250.0,2535.0,3.0,5.0,191.0,0.0,204.0,2.0,2.0,2.0
2011-04-20 01:28:00,144.0,1.0,1.0,142.0,123.0,0.0,1.0,5.0,360.0,2.0,2252.0,2515.0,32.0,26.0,193.0,11.0,206.0,2.0,5.0,2.0
2011-04-20 01:29:00,160.0,1.0,1.0,123.0,120.0,0.0,0.0,5.0,359.0,2.0,2625.0,2910.0,4.0,5.0,193.0,0.0,205.0,2.0,2.0,2.0
2011-04-20 01:30:00,190.0,1.0,1.0,122.0,121.0,0.0,0.0,5.0,357.0,2.0,2255.0,2530.0,3.0,5.0,139.0,0.0,204.0,2.0,2.0,2.0
2011-04-20 01:31:00,194.0,1.0,1.0,139.0,120.0,0.0,0.0,5.0,359.0,2.0,2250.0,2518.0,3.0,5.0,140.0,0.0,205.0,2.0,2.0,2.0
2011-04-20 01:32:00,397.0,3.0,2.0,147.0,120.0,0.0,0.0,5.0,359.0,2.0,2528.0,2802.0,4.0,5.0,140.0,0.0,206.0,5.0,2.0,2.0
2011-04-20 01:33:00,258.0,2.0,1.0,157.0,120.0,0.0,0.0,5.0,356.0,2.0,2285.0,2535.0,3.0,5.0,139.0,0.0,203.0,2.0,2.0,2.0
2011-04-20 01:34:00,200.0,2.0,0.0,171.0,1.0,0.0,0.0,5.0,360.0,2.0,2250.0,2512.0,3.0,5.0,140.0,0.0,206.0,2.0,2.0,2.0
2011-04-20 01:35:00,151.0,1.0,1.0,144.0,0.0,0.0,0.0,5.0,360.0,2.0,2520.0,2738.0,3.0,5.0,140.0,0.0,206.0,2.0,2.0,2.0
2011-04-20 01:36:00,152.0,1.0,1.0,147.0,83.0,0.0,0.0,5.0,357.0,2.0,2410.0,2665.0,3.0,5.0,139.0,0.0,204.0,2.0,2.0,2.0
2011-04-20 01:37:00,150.0,1.0,1.0,146.0,83.0,0.0,0.0,5.0,360.0,2.0,2255.0,2535.0,3.0,5.0,140.0,0.0,206.0,5.0,2.0,2.0
2011-04-20 01:38:00,335.0,3.0,1.0,159.0,1.0,0.0,1.0,5.0,360.0,2.0,2435.0,2855.0,3.0,5.0,141.0,0.0,206.0,2.0,2.0,2.0
2011-04-20 01:39:00,271.0,3.0,1.0,279.0,1.0,0.0,1.0,5.0,154.0,1.0,2362.0,2612.0,4.0,5.0,125.0,0.0,0.0,0.0,0.0,2.0
2011-04-20 01:40:00,281.0,4.0,1.0,251.0,136.0,0.0,1.0,5.0,155.0,1.0,2252.0,2525.0,4.0,5.0,126.0,1.0,1.0,0.0,0.0,2.0
2011-04-20 01:41:00,374.0,3.0,1.0,248.0,129.0,0.0,0.0,5.0,154.0,0.0,0.0,300.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0
2011-04-20 01:42:00,777.0,10.0,5.0,266.0,122.0,0.0,1.0,5.0,154.0,0.0,2490.0,2850.0,4.0,5.0,1.0,0.0,1.0,0.0,0.0,2.0
2011-04-20 01:43:00,687.0,8.0,4.0,272.0,121.0,1.0,1.0,5.0,153.0,0.0,2242.0,2528.0,3.0,4.0,1.0,0.0,1.0,0.0,0.0,2.0
2011-04-20 01:44:00,732.0,8.0,3.0,256.0,122.0,0.0,1.0,5.0,154.0,0.0,2240.0,2515.0,3.0,4.0,1.0,0.0,1.0,0.0,0.0,2.0
2011-04-20 01:45:00,665.0,5.0,2.0,255.0,122.0,0.0,1.0,5.0,154.0,0.0,2440.0,2792.0,4.0,5.0,1.0,0.0,1.0,0.0,0.0,2.0
2011-04-20 01:46:00,48.0,1.0,0.0,245.0,119.0,0.0,1.0,5.0,153.0,0.0,2245.0,2508.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0
2011-04-20 01:47:00,69.0,1.0,0.0,245.0,119.0,0.0,0.0,5.0,154.0,5.0,2238.0,2505.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0
