Time,refrigerator,kitchen_outlets,kitchen_outlets2,microwave,lighting
2011-04-23 00:00:00,False,False,False,False,False
2011-04-23 04:00:00,False,False,False,False,False
2011-04-23 08:00:00,False,False,False,False,False
2011-04-23 12:00:00,False,False,False,False,False
2011-04-23 16:00:00,False,False,False,False,False
2011-04-23 20:00:00,False,False,False,False,False
2011-04-24 00:00:00,False,False,False,False,False
2011-04-24 04:00:00,False,False,False,False,False
2011-04-24 08:00:00,False,False,False,False,False
2011-04-24 12:00:00,False,False,False,False,False
2011-04-24 16:00:00,False,False,False,False,False
2011-04-24 20:00:00,False,False,False,False,False
2011-04-25 00:00:00,False,False,False,False,False
2011-04-25 04:00:00,False,False,False,False,False
2011-04-25 08:00:00,False,False,False,False,False
2011-04-25 12:00:00,False,False,False,False,False
2011-04-25 16:00:00,False,False,False,False,False
2011-04-25 20:00:00,False,False,False,False,False
2011-04-26 00:00:00,False,False,False,False,False
2011-04-26 04:00:00,False,False,False,False,False
2011-04-26 08:00:00,False,False,False,False,False
2011-04-26 12:00:00,False,False,False,False,False
2011-04-26 16:00:00,False,False,False,False,False
2011-04-26 20:00:00,False,False,False,False,False
2011-04-27 00:00:00,False,False,False,False,False
2011-04-27 04:00:00,False,False,False,False,False
2011-04-27 08:00:00,False,False,False,False,False
2011-04-27 12:00:00,False,False,False,False,False
2011-04-27 16:00:00,False,False,False,False,False
2011-04-27 20:00:00,False,False,False,False,False
2011-04-28 00:00:00,False,False,False,False,False
2011-04-28 04:00:00,False,False,False,False,False
2011-04-28 08:00:00,False,False,False,False,False
2011-04-28 12:00:00,False,False,False,False,False
2011-04-28 16:00:00,False,False,False,False,False
2011-04-28 20:00:00,False,False,False,False,False
2011-04-29 00:00:00,False,False,False,False,False
2011-04-29 04:00:00,False,False,False,False,False
2011-04-29 08:00:00,False,False,False,False,False
2011-04-29 12:00:00,False,False,False,False,False
2011-04-29 16:00:00,False,False,False,False,False
2011-04-29 20:00:00,False,False,False,False,False
2011-04-30 00:00:00,False,False,False,False,False
2011-04-30 04:00:00,False,False,False,False,False
2011-04-30 08:00:00,False,False,False,False,False
2011-04-30 12:00:00,False,False,False,False,False
2011-04-30 16:00:00,False,False,False,False,False
2011-04-30 20:00:00,False,False,False,False,False
